project,category,repo_url,pinned_ref,expected_level,reviewer_notes
redis,database,https://github.com/redis/redis,7.4.1,configurable,"tls-ciphers / tls-ciphersuites / tls-protocols in redis.conf."
rabbitmq,message_broker,https://github.com/rabbitmq/rabbitmq-server,v4.0.4,configurable,"ssl_options.versions + ssl_options.ciphers in rabbitmq.conf."
kafka,message_broker,https://github.com/apache/kafka,3.9.0,configurable,"ssl.cipher.suites + ssl.enabled.protocols broker properties."
nats,message_broker,https://github.com/nats-io/nats-server,v2.10.22,configurable,"tls block in nats.conf exposes cipher_suites + curve_preferences."
openvpn,vpn_secure_shell,https://github.com/OpenVPN/openvpn,v2.6.12,configurable,"tls-cipher + tls-ciphersuites + data-ciphers + auth directives; cert PKI configurable."
strongswan,vpn_secure_shell,https://github.com/strongswan/strongswan,5.9.14,configurable,"swanctl.conf ike / esp / ah proposals lists; plugins enabled in strongswan.conf."
wireguard-tools,vpn_secure_shell,https://github.com/WireGuard/wireguard-tools,v1.0.20210914,pinned,"Wireguard intentionally hard-codes Curve25519 + ChaCha20-Poly1305 + BLAKE2s + HKDF; no negotiation; agility is by-design pinned."
libreswan,vpn_secure_shell,https://github.com/libreswan/libreswan,v5.1,configurable,"esp / ike proposals in ipsec.conf."
powerdns,dns_server,https://github.com/PowerDNS/pdns,auth-4.9.3,configurable,"TLS for DoT/DoH exposes tls-config / dot-cert / dot-ciphers."
bind,dns_server,https://github.com/isc-projects/bind9,v9.20.4,configurable,"tls statements in named.conf allow protocols + ciphers; DNSSEC algorithm pinned per zone."
unbound,dns_server,https://github.com/NLnetLabs/unbound,release-1.21.1,configurable,"tls-ciphers + tls-ciphersuites in unbound.conf."
coredns,dns_server,https://github.com/coredns/coredns,v1.12.0,configurable,"tls plugin protocol + ciphers configurable."
knot-dns,dns_server,https://github.com/CZ-NIC/knot,v3.4.2,configurable,"DNSSEC algorithm per-zone configurable."
samba,file_server,https://github.com/samba-team/samba,samba-4.21.2,configurable,"tls protocol + tls cipher in smb.conf; krb5 algorithms configurable."
gitlab-runner,ci_cd,https://gitlab.com/gitlab-org/gitlab-runner,v17.6.0,configurable,"TLS via Go stdlib; tls_min_version + curve_preferences configurable."
prometheus,observability,https://github.com/prometheus/prometheus,v3.0.1,configurable,"web.config.file allows tls_server_config (cipher_suites + curve_preferences + min/max_version)."
grafana,observability,https://github.com/grafana/grafana,v11.4.0,configurable,"tls_min_version + tls_ciphers in grafana.ini."
elasticsearch,observability,https://github.com/elastic/elasticsearch,v8.16.1,configurable,"xpack.security.transport.ssl.cipher_suites in elasticsearch.yml; supports FIPS-validated build."
vault,security_kms,https://github.com/hashicorp/vault,v1.18.2,configurable,"listener.tls_cipher_suites + tls_min_version + tls_max_version; integrates with HSMs."
consul,security_kms,https://github.com/hashicorp/consul,v1.20.1,configurable,"tls.defaults.tls_cipher_suites + tls_min_version."
boulder,certificate_authority,https://github.com/letsencrypt/boulder,release-2024-12-09,configurable,"Go stdlib TLS with ciphers + min_version overrides; signing key types per VA configurable."
step-ca,certificate_authority,https://github.com/smallstep/certificates,v0.27.5,configurable,"ca.json tls section + key.type per signer."
cfssl,certificate_authority,https://github.com/cloudflare/cfssl,1.6.5,configurable,"profile-driven algorithm + key-size; PQ signers planned."
postfixadmin,mail_server,https://github.com/postfixadmin/postfixadmin,3.3.13,configurable,"Inherits Postfix TLS config; database TLS settable."
roundcube,mail_server,https://github.com/roundcube/roundcubemail,1.6.9,configurable,"IMAP/SMTP TLS minimum protocol + ssl_verify_peer configurable in config.inc.php."
nextcloud-server,file_server,https://github.com/nextcloud/server,v30.0.2,configurable,"Inherits OpenSSL system policy; HTTPS config delegated to fronting nginx/apache."
matrix-synapse,messaging,https://github.com/element-hq/synapse,v1.121.0,configurable,"federation_certificate_verification_whitelist; TLS protocol + cipher_suites in listeners section."
ejabberd,messaging,https://github.com/processone/ejabberd,24.10,configurable,"ciphers + protocol_options + dhfile in c2s_starttls / s2s_starttls."
prosody,messaging,https://github.com/bjc/prosody,0.12.4,configurable,"ssl block in prosody.cfg.lua exposes protocol + ciphers."
keycloak,security_kms,https://github.com/keycloak/keycloak,26.0.5,configurable,"server.{config,xml} exposes https-cipher-suites + https-protocols + tls-version."
openldap,security_kms,https://github.com/openldap/openldap,OPENLDAP_REL_ENG_2_6_8,configurable,"olcTLSCipherSuite + olcTLSProtocolMin attributes in cn=config."
freeradius,security_kms,https://github.com/FreeRADIUS/freeradius-server,release_3_2_5,configurable,"tls block exposes cipher_list + tls_min_version + dh_file in radiusd.conf modules."
ntpd,time,https://github.com/ntp-project/ntp,stable-4.2.8p18,pinned,"NTP authentication uses symmetric keys; algorithm choice is fixed in the protocol layer (MD5/SHA-1 historically); NTS adds TLS but the base agility is pinned-by-protocol."
chrony,time,https://github.com/mlichvar/chrony,4.6.1,configurable,"NTS keys + key types configurable in chrony.conf; symmetric algorithm via keyfile."
zeek,observability,https://github.com/zeek/zeek,v7.0.3,configurable,"Sees and logs handshake details; its own TLS for control channel uses configurable cipher list."
suricata,observability,https://github.com/OISF/suricata,suricata-7.0.7,pinned,"Suricata reports observed crypto; its internal management API uses Unix sockets so no TLS surface for itself."
